raisonSociale,secteurActivite,siren,siret,typologie,civilite1,nomInterlocuteur,prenomInterlocuteur,adressePostale,complementAdresse,codePostal,telephone1,telephone2,mail1,mail2,commentaire,dateProchaineAction,statut,matriculeGestionnaire,historique
Société 31,Manufacturing,427342041,63137587475595,B2B,Mme,Moreau,Alice,4 Rue Exemple,Bâtiment A,23999,0150758681,0691712719,contact31@societe31.com,info31@societe31.com,Commentaire sur la société 31,2024-03-01,En attente d'appel,a001,[]
Société 32,Manufacturing,334995121,66564775559674,B2C,Mme,Lemoine,Claire,8 Rue Exemple,Bureau 202,29222,0158048046,0628822155,contact32@societe32.com,info32@societe32.com,Commentaire sur la société 32,2024-03-08,En attente d'appel,a001,[]
Société 33,Pharmaceutique,233058317,62942777012293,B2B,Mme,Durand,Sophie,25 Rue Exemple,,60754,0128319106,0648766252,contact33@societe33.com,info33@societe33.com,Commentaire sur la société 33,2024-03-15,En attente d'appel,a001,[]
Société 34,Logistique,909515300,97252935419283,B2B,M.,Lemoine,Claire,26 Rue Exemple,3ème étage,16069,0126108072,0615088693,contact34@societe34.com,info34@societe34.com,Commentaire sur la société 34,2024-03-22,En attente d'appel,a001,[]
Société 35,Manufacturing,404544613,27281804886472,B2B,M.,Garcia,Alice,34 Rue Exemple,,79709,0118913554,0649016461,contact35@societe35.com,info35@societe35.com,Commentaire sur la société 35,2024-03-29,En attente d'appel,a001,[]
Société 36,Manufacturing,711176066,64869613246602,B2B,Mme,Garcia,Sophie,50 Rue Exemple,Bâtiment A,40628,0158352745,0680770874,contact36@societe36.com,info36@societe36.com,Commentaire sur la société 36,2024-04-05,En attente d'appel,a001,[]
Société 37,Logistique,386662661,97698749215644,B2B,M.,Garcia,Claire,21 Rue Exemple,Bureau 202,58770,0114560983,0614454405,contact37@societe37.com,info37@societe37.com,Commentaire sur la société 37,2024-04-12,En attente d'appel,a001,[]
Société 38,Pharmaceutique,433038232,34558126889093,B2B,M.,Durand,Claire,42 Rue Exemple,,70712,0162492502,0685731159,contact38@societe38.com,info38@societe38.com,Commentaire sur la société 38,2024-04-19,En attente d'appel,a001,[]
Société 39,Pharmaceutique,447798877,39411643899545,B2C,M.,Garcia,Alice,38 Rue Exemple,,20091,0172973744,0645834147,contact39@societe39.com,info39@societe39.com,Commentaire sur la société 39,2024-04-26,En attente d'appel,a001,[]
Société 40,Informatique,797254182,11958245627448,B2B & B2C,M.,Garcia,Sophie,11 Rue Exemple,Bâtiment A,41561,0189746077,0668471072,contact40@societe40.com,info40@societe40.com,Commentaire sur la société 40,2024-05-03,En attente d'appel,a001,[]
Société 41,Logistique,210834492,47210092658436,B2B,Mme,Durand,Sophie,17 Rue Exemple,3ème étage,26834,0168634451,0625164927,contact41@societe41.com,info41@societe41.com,Commentaire sur la société 41,2024-05-10,En attente d'appel,a001,[]
Société 42,Informatique,979893714,89237995293035,B2B & B2C,Mme,Garcia,Alice,1 Rue Exemple,3ème étage,14204,0111556969,0615686907,contact42@societe42.com,info42@societe42.com,Commentaire sur la société 42,2024-05-17,En attente d'appel,a001,[]
Société 43,Logistique,380551628,17364007840364,B2B & B2C,Mme,Garcia,Claire,9 Rue Exemple,,87306,0137276680,0652476324,contact43@societe43.com,info43@societe43.com,Commentaire sur la société 43,2024-05-24,En attente d'appel,a001,[]
Société 44,Conseil,829211605,91435754056653,B2B,M.,Durand,Alice,29 Rue Exemple,,48776,0133318932,0675423151,contact44@societe44.com,info44@societe44.com,Commentaire sur la société 44,2024-05-31,En attente d'appel,a001,[]
Société 45,Logistique,279781862,74544234112950,B2C,M.,Durand,Claire,50 Rue Exemple,3ème étage,97466,0156087761,0615373057,contact45@societe45.com,info45@societe45.com,Commentaire sur la société 45,2024-06-07,En attente d'appel,a001,[]
Société 46,Informatique,820064826,43035269266380,B2B,Mme,Lemoine,Claire,37 Rue Exemple,Bureau 202,29763,0144802473,0618775771,contact46@societe46.com,info46@societe46.com,Commentaire sur la société 46,2024-06-14,En attente d'appel,a001,[]
Société 47,Informatique,912247571,82952214777476,B2C,Mme,Lemoine,Alice,48 Rue Exemple,,11496,0157076724,0676322770,contact47@societe47.com,info47@societe47.com,Commentaire sur la société 47,2024-06-21,En attente d'appel,a001,[]
Société 48,Pharmaceutique,537308149,16337640089821,B2B & B2C,Mme,Garcia,Claire,24 Rue Exemple,,95472,0174679259,0621874302,contact48@societe48.com,info48@societe48.com,Commentaire sur la société 48,2024-06-28,En attente d'appel,a001,[]
Société 49,Manufacturing,585634172,67156569812910,B2B,Mme,Durand,Sophie,18 Rue Exemple,3ème étage,65495,0173090573,0660812730,contact49@societe49.com,info49@societe49.com,Commentaire sur la société 49,2024-07-05,En attente d'appel,a001,[]
Société 50,Pharmaceutique,722223552,65602977930927,B2B,Mme,Durand,Claire,9 Rue Exemple,3ème étage,24621,0126876807,0619774834,contact50@societe50.com,info50@societe50.com,Commentaire sur la société 50,2024-07-12,En attente d'appel,a001,[]
Société 51,Pharmaceutique,332395922,80031874416632,B2B & B2C,M.,Moreau,Alice,18 Rue Exemple,,50805,0161585540,0661914556,contact51@societe51.com,info51@societe51.com,Commentaire sur la société 51,2024-07-19,En attente d'appel,a001,[]
Société 52,Logistique,776148311,74503829520634,B2B & B2C,Mme,Garcia,Alice,44 Rue Exemple,3ème étage,88646,0153565305,0643349259,contact52@societe52.com,info52@societe52.com,Commentaire sur la société 52,2024-07-26,En attente d'appel,a001,[]
Société 53,Conseil,866784068,49689140470806,B2B & B2C,M.,Lemoine,Sophie,9 Rue Exemple,Bureau 202,40179,0130726080,0651847429,contact53@societe53.com,info53@societe53.com,Commentaire sur la société 53,2024-08-02,En attente d'appel,a001,[]
